pip,peep,driving_pressure,p_auc,decay_rate,decay_half_time,exp_concavity,tau_exp,rise_time,rise_slope,insp_auc,exp_auc,ie_auc_ratio,p_at_half_insp,p_mean,p_std,p_skewness,p_kurtosis,p_rms,zero_cross_rate,label
23.68,0.23,23.45,105.05000000000003,-3.3448809523809504,2.0,0.6163690476190474,1.8935378431372616,6.0,3.908333333333333,49.705,55.345,0.8980937754087993,3.15,7.536428571428571,8.144052700452956,0.7998813509269923,-0.9187826714234348,11.096096160361988,0.14285714285714285,Normal
23.35,0.23,23.12,104.335,-3.440119047619044,2.0,0.6094642857142852,1.847786076657745,6.0,3.8533333333333335,47.25,57.085,0.8277130594727161,1.94,7.484285714285716,8.360337240537023,0.8485879236393199,-0.8812144630249366,11.220952340535604,0.14285714285714285,Normal
23.7,0.26,23.439999999999998,104.53,-3.380238095238093,2.0,0.6140476190476193,1.7760575133666379,6.0,3.9066666666666663,49.480000000000004,55.05,0.8988192552225251,3.16,7.494285714285715,8.142387956407694,0.8055839041947866,-0.9067418244368977,11.066291158287857,0.14285714285714285,Normal
23.35,0.15,23.200000000000003,103.23,-3.4407142857142836,2.0,0.634761904761905,1.7859520976636316,6.0,3.866666666666667,47.56,55.67,0.8543201005927789,2.15,7.398571428571429,8.382822450994531,0.8596703477850937,-0.8743912669486544,11.180812646161792,0.14285714285714285,Normal
24.7,0.45,24.25,107.355,-3.582619047619045,2.0,0.744523809523809,1.5078067542745914,6.0,4.041666666666667,54.794999999999995,52.559999999999995,1.0425228310502284,5.57,7.695,8.672564911423674,0.8550354730045623,-0.8483362579636227,11.594240257250888,0.14285714285714285,Normal
24.26,0.19,24.07,108.96,-3.5551190476190455,3.0,0.6395833333333332,1.5654308744497523,6.0,4.011666666666667,53.905,55.055,0.9791117972936155,3.75,7.802857142857143,8.730421711767773,0.7538779202771959,-1.0538644906010957,11.70917771908612,0.14285714285714285,Normal
24.45,0.25,24.2,102.45,-3.511547619047617,2.0,0.7312500000000004,1.588625119242247,6.0,4.033333333333333,50.23,52.220000000000006,0.9618919954040596,2.51,7.339999999999998,8.594494084670055,0.896378167021013,-0.8075938954499384,11.302253251959474,0.14285714285714285,Normal
24.04,0.25,23.79,98.54000000000002,-3.367976190476188,2.0,0.6810119047619049,1.571825505111764,6.0,3.965,48.285,50.254999999999995,0.9607999204059298,3.74,7.06,8.074352694090804,0.9245967763878663,-0.6224525182971274,10.72561286960197,0.14285714285714285,Normal
24.24,0.09,24.15,104.935,-3.483333333333331,2.0,0.6496428571428567,1.6911252078998438,6.0,4.0249999999999995,49.955,54.980000000000004,0.908603128410331,2.5,7.517142857142858,8.524114892109184,0.8375165513945,-0.8739058192428364,11.365208815880658,0.14285714285714285,Normal
23.79,-0.03,23.82,93.11999999999999,-3.1624999999999988,2.0,0.7763690476190475,1.426633229766456,6.0,3.97,50.165,42.955,1.167850075660575,2.48,6.652857142857143,8.275141283706649,0.9910196316272117,-0.5888841038611674,10.617837417693464,0.14285714285714285,Obstructive
23.78,0.02,23.76,121.84499999999998,-2.918571428571427,3.0,0.25440476190476224,2.8743762095939625,6.0,3.9600000000000004,50.16,71.685,0.6997279765641347,4.48,8.759285714285715,7.664773283652682,0.5493816609383816,-0.8785786824255744,11.6393228202626,0.14285714285714285,Obstructive
22.35,0.61,21.740000000000002,109.145,-2.940714285714284,3.0,0.43892857142857145,2.141933034804777,6.0,3.6233333333333335,53.510000000000005,55.635000000000005,0.9618046193942662,5.72,7.842857142857143,7.601569789543875,0.7410770519605692,-0.8147635243701092,10.92219169528586,0.14285714285714285,Obstructive
23.94,-0.01,23.950000000000003,119.90999999999998,-2.8755952380952374,3.0,0.42648809523809583,3.1722057895224056,6.0,3.991666666666667,52.72,67.19,0.7846405715136181,3.75,8.659285714285714,7.817209462174479,0.5887887937885993,-0.9759053558062334,11.665847284151411,0.14285714285714285,Obstructive
22.2,0.31,21.89,128.815,-1.779666666666666,3.0,0.4127056277056277,7.665911656780369,5.0,4.378,32.785,96.02999999999999,0.3414037280016662,6.64,9.504285714285714,6.710117855347479,0.3809103459145824,-0.44522284550627855,11.634308254959922,0.14285714285714285,Obstructive
